Full Name,TEAMS,Batting Style,Bowling Style,Playing Role,description,imageurl
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world.At 16, Mujeeb was part of an Afghanistan Under-19 side that dismantled Bangladesh 3-1 away in 2017. Bowling predominantly with the new ball, he took eight wickets in the first three games of that series and 7 for 19 in the fourth, where Afghanistan successfully defended 134. The month after, he starred in a historic U-19 Asia Cup title win for Afghanistan, taking 5 for 13 as his team beat Pakistan in the final.Early in 2018, at the U-19 World Cup in New Zealand, he took 4 for 14 to beat the home team and set up a semi-final against Australia. That week he was signed by Kings XI Punjab (for about US$630,000) for whom he took 14 wickets in that year's IPL. By the time he played that tournament, he had become the youngest to take five wickets in an ODI - against Zimbabwe in a Sharjah bilateral game that February which Afghanistan won comfortably - at the age of 16 years and 325 days. He had also helped beat West Indies with a four-wicket bag in the final of the World Cup Qualifier tournament in Harare that March, taking Afghanistan to their second World Cup; Mujeeb was the joint-highest wicket-taker in the Qualifier, with 17 wickets.By the end of that eventful year, he was much in demand as a T20 gun for hire, having made his debuts in the T20 Blast in England (for Hampshire), for Nagarhar Leopards in the first edition of the Afghanistan Premier League, and in the BBL for Brisbane Heat, with whom he played for four seasons before moving to Melbourne Renegades in 2022.In the 2021 T20 World Cup, Mujeeb started with a bang, taking 5 for 20 in a crushing win against Scotland - though Afghanistan didn't do much of note in the tournament.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320501.png"
Hasan Ali,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,"Hasan Ali is a medium-fast bowler with a simple bowling action and a blend of variations. He made his first-class debut at the age of 19 and impressive against Lahore Ravi with a four-wicket haul in the first innings. His career started with club cricket and rose up to the regional Under-16 level but he did not make youth squads at national level. However, he managed to gain some attention in the 2015 National T20 Cup in where he picked up eight wickets in four matches under the captaincy of Shoaib Malik. His 17 wickets at 17.05 in the National One-Day cup in 2016 was a key part of him being promoted to the Pakistan side. Peshawar Zalmi head coach Mohammad Akram had been monitoring this process at the domestic circuit and snapped him form the emerging category in Pakistan Super League.Hasan made a smooth transition to international cricket, grabbing two five-fors in his first 15 ODIs and impressing with his tight lines on his Test debut - which coincided with the farewells of Misbah-ul-Haq and Younis Khan - as Pakistan pulled off a last-gasp win in Dominica. Still, no one could quite imagine the impact he would have on his first global tournament, the 2017 Champions Trophy.Much like his team, Hasan began the tournament badly, going for 70 in his ten overs in a heavy opening-match defeat to India, before turning his form around in unexpectedly dramatic manner. Taking three wickets in each of Pakistan's next four matches, he finished as the tournament's leading wicket-taker with 13 at an average of 14.69, while only conceding 4.29 an over. Hasan's ability to strike regular middle-overs blows was a key factor in Pakistan lifting their first global ODI trophy since the 1992 World Cup, and his Player-of-the-Tournament award richly deserved.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320450.png"
Marco Jansen,South Africa,Right hand Bat,Left arm Medium fast,Bowling Allrounder,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. Jansen went on to tour India with South Africa's Under-19 side in 2019 and, that season, was the leading wicket-taker for North West in the three-day provincial competition. He travelled with South Africa's Test squad to Pakistan in early 2021 and was signed by Mumbai Indians for the IPL. Jansen made his Test debut against India in the Boxing Day Test in 2021, and became the first player born in the 2000s to be capped for the national side.Firdose Moonda","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/337100/337189.png"
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. He did well against tougher opposition as well, making 94 in a comprehensive win over India in Centurion in January 2018 and two big hundreds against Australia in the contentious Sandpapergate series two months later. But overseas success took a while to come - after disappointing tours of India and Sri Lanka, Markram made his first away Test hundred in a second-innings effort in Rawalpindi in February 2021, showing he had the technique to navigate pitches that turned and stayed low. His 108 gave South Africa a fighting chance, but they eventually lost the series 2-0. A batter of class and composure, aggressive and strong on the off side, Markram did well in limited-overs cricket as well. In 2021, he was South Africa's leading run-maker in ODIs, had a stellar T20 World Cup,  and was named the T20I Player of the Year in Cricket South Africa's awards for the year.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322067.png"
Imam-ul-Haq,Pakistan,Left hand Bat,,Top order Batter,"Prodigious or privileged? Imam ul Haq answered that question emphatically right at the get-go, stopping conspiracy theorists and cynics who cried nepotism - his uncle is chief selector Inzamam-ul-Haq - with a glorious start to his international career. A hundred against Sri Lanka on debut made him the second player from Pakistan to reach three figures in his first match. He followed that up with a splendid outing in Zimbabwe, where he scored three centuries and became the first player in ODI history to score four hundreds in his first nine matches.A bespectacled, slight young man with a deferential, curious note running through his voice, Imam is a ruthless accumulator at the crease. A left-handed opening batsman descended from arguably Pakistan's greatest batsman of all time, Imam is particularly strong on the drive and off his hips. He looks to have faith in his abilities even in high-pressure moments, though he is admittedly yet to be tested in truly demanding conditions or the highest quality of opposition; he was unwittingly done a favour when he was benched for most of Pakistan's disastrous ODI tour of New Zealand at the start of 2018.His start to Test cricket hasn't quite been as eye-catching, though an unbeaten 74 in the fourth innings of his debut match prevented Pakistan from falling to an astonishing defeat against the debuting Test nation Ireland. In the two Tests that followed in English conditions, he appeared susceptible to the moving ball - Stuart Broad dismissed him in all three innings, twice by trapping him lbw. He has the technique and level head to be able to succeed in red-ball cricket, and upcoming home tours of Australia and New Zealand provide him the perfect opportunity to make his mark as a long-term opener in both longer formats.Danyal Rasool","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322209.png"
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,"In the winter of 2022-23, Harry Brook announced himself as one of the world's most exciting young players with a staggering run of form across formats, most particularly in England's rebooted Test team. After making his debut against South Africa in September 2022, Brook travelled to Pakistan and New Zealand with Ben Stokes' team, where he peeled off consecutive scores of 153, 87, 9, 111, 89, 54, and 186 to take his overall tally to 809 runs in nine innings, at an extraordinary strike-rate of 98.77. No player in Test history had started with a bigger bang - Vinod Kambli had 796 runs after his own ninth innings - and not even Brook's anticlimactic tenth innings (run out without facing in England's thrilling one-run defeat at Wellington) could take the gloss off his achievement. By then, Brook was also a T20 World Cup winner, after featuring in England's triumph in Australia earlier in the winter, and at the IPL auction in December, he was snapped up by Sunrisers Hyderabad for Rs 13.25 crore (£1.3 million).A former England U19s captain, Brook had flickered in Yorkshire colours over the first couple of years of his professional career, most notably when scoring a maiden first-class hundred at Chelmsford in 2018, as the visitors recovered from being bowled out for 50 in their first innings to inflict defeat on reigning champions Essex. He recorded a List A hundred at the start of Yorkshire's 2019 Royal London Cup campaign, and showed signs of greater consistency the following summer when he averaged 43.00 in the Bob Willis Trophy.But his form in the Blast - first as a finisher in 2020, then shifting up to No. 4 in 2021 - was enough for him to be touted as a future England player, and an innings of 62 from 31 balls in the Northern Superchargers' first Hundred game led Stokes to echo that sentiment. He is particularly strong against seamers, hitting down the ground, or over midwicket and the covers, and has become innovative too, reverse-lapping and scooping in the death overs.Brook, an orderly young batsman, won 1st XI recognition midway through 2017 courtesy of an impressive run of scores in the second team, the highlight of which was a matchwinning century in a one-day final against Middlesex at Headingley. A product of the Burley-in-Wharfedale club, and Sedburgh School, Brook had already toured India with England Under-19s at that stage and he captained them later in the year in 50-over cricket in the return series against the Indians.He led from the front, initially at least, at the 2018 U19 World Cup, where he finished as England's leading run-scorer. But he made a golden duck in the quarter-final defeat to Australia and was then dropped for their final game, a seventh-place play-off against New Zealand, for disciplinary reasons.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324200/324246.png"
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams.The best of his ability and temperament were on display in his first Test as captain, against a weakened West Indies side in Grenada, when Shakib took eight wickets and scored an unbeaten 96 in a tense but successful fourth-innings chase of 215, leading Bangladesh to their first overseas series victory. In only his fourth Test as captain, Shakib scored 87 and 100 - his maiden Test century - in a losing cause against New Zealand in Hamilton, performances that offered further proof of his skill and ability to handle pressure. Against the same opponents in 2008, Shakib took 7 for 36 in Chittagong, only the second instance of a Bangladesh bowler taking seven or more wickets in a Test innings.In ODIs, Shakib's contributions have been equally vital with bat and ball and he became the first from Bangladesh to achieve the double of 2000 runs and 100 wickets. He also became the first batsman from Bangladesh to score five hundreds, despite mostly batting at No. 5.Being clearly the best player in the team, it wasn't surprising when Shakib was handed the captaincy in 2009 after Mashrafe Mortaza repeatedly got injured during his first tenure. His ability to perform consistently and to stay calm under pressure worked well for Bangladesh, as they won 22 out of 47 games under him, and even beat England in the 2011 World Cup. However, the World Cup campaign was followed by a disappointing tour of Zimbabwe, where Bangladesh lost a one-off Test and the ODI series, which led to Shakib's removal as captain.His form hardly waned, however, as he quickly bounced back to help Bangladesh bowl out West Indies for 61 in an ODI; a hundred and five-for in the same Test - something he has done twice - followed later in the year. He remained consistent for Bangladesh and his IPL team, Kolkata Knight Riders, but in 2014 Shakib lapsed into off-field shenanigans that saw him fined for lewdly gesticulating at the camera from the dressing-room during an ODI against Sri Lanka, then suspended for six months by the BCB for misbehaving with coach Chandika Hathurusingha and threatening to quit Bangladesh duty. The ban was lifted early and Shakib made the vice-captain in the ODI and T20 formats under Mashrafe. His match-winning ability was undimmed and he played key roles in Bangladesh wins during their stellar 2015. In the 2019 World Cup, Shakib hit his peak with the bat: playing the No. 3 role, he went past fifty in seven out of eight innings, with a lowest score of 41. That streak included two centuries, including an unbeaten 124 off 99 balls as Bangladesh chased down West Indies' 321 inside 42 overs - a record ODI chase for the country. Shakib finished the tournament third on the batting charts with 606 runs at 86.57, and also took a five-wicket haul against Afghanistan. The highs from that World Cup would dissolve shortly after. Shakib was suspended from all cricket for two years, with one year suspended, after accepting three charges of breaching the ICC's anti-corruption code. He was found guilty of not reporting approaches from bookies during series with Bangladesh as well as at the IPL during his time with the Sunrisers Hyderabad. The suspension would have effectively ended his chances of participating in the T20 World Cup in 2020, but the Covid-19 pandemic meant the tournament was postponed, and that a large part of Shakib's suspension went by without his missing too much cricket with the national team. Shakib was back in the set up soon after, and said he regretted and repented his actions, and that the suspension and the pandemic had made him rethink life.In 2021, he had another run-in with the authorities. This time, during the Dhaka Premier League. Playing for Mohammedan Sporting Club against Abahani Limited, Shakib was caught on video first kicking the stumps and remonstrating with the umpire after his lbw appeal had been turned down, and later ripping them out in anger after the umpire called for the covers when it had begun to rain. He was subsequently banned for three matches and fined Taka 5 lakh (USD 5800 approx).Mohammad Isam & ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316581.png"
Will Young,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/346200/346246.png"
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. Shamsi bounced between the Highveld and Kwa-Zulu Natal and pushed for a place at franchise level after a strong 2013-14 season for Easterns. He took 47 wickets at 20.02 to finish third in the three-day cup wicket-takers' list, and then played five matches in the 2014-15 franchise 20-over competition where caught the eye of the touring West Indians, who were visiting South Africa that summer. In 2015, Shamsi was bought by Caribbean Premier League franchise St Kitts and Nevis Patriots, where Eric Simons was coach. There, Shamsi rose to some prominence, taking 11 wickets at 13.27 in the seven matches he played.More regular opportunities in franchise cricket came the next season and Shamsi took them. He finished as the leading spinner in South Africa's first-class competition in the 2015-16 summer, in which he took 41 wickets at 19.97 in Titans' title-run. In 2016, he was picked up by the IPL's Royal Challengers Bangalore as a replacement player for the injured Samuel Badree which meant that Shamsi had played in two T20 leagues before picked for the national side. His ODI debut finally came in a triangular series in the Caribbean in June 2016. That same year he made his Test debut against Australia in Adelaide and the following June, he played his first T20 international. But Shamsi struggled to find a regular place in the South African side, with Keshav Maharaj established as the Test spinner and Imran Tahir their white-ball specialist. Shamsi was part of the 2019 World Cup squad and played two matches but it was only after Tahir's ODI retirement after the 2019 World Cup that Shamsi came into his own. In the 2019-20 summer, he finished second on the Mzansi Super League wicket-charts and was a star performer in the Paarl Rocks' tournament-winning campaign and was afforded a regular run in white-ball series against England and Australia. In addition to his ability to take wickets, he also demonstrated the capacity to hold an end, something South Africa have always wanted from their spinners.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322068.png"
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. Without the advantage of height or power, Bavuma's game is built on finesse and patience and has been since he moved up country for secondary school at St David's Marist College in northern Johannesburg. Bavuma combined playing for his school with a commitment to Soweto Cricket Club, where he was mentored by Geoffrey Toyana from a young age.At 18, he made his first-class debut for Gauteng and three seasons later was playing in the franchise team, Lions. His sound technique, particularly off the back foot, helped him average over 45 in his second summer and he also demonstrated a temperament beyond his years. Bavuma established himself as part of the Lions leadership group, and was named their vice-captain in 2013-14. Bavuma played for South Africa A after finishing as the fifth-highest run-scorer in the 2012-13 season and followed that up by ending sixth in 2013-14. He was called up to the Test squad to play West Indies at the end of 2014. 
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320389.png"
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann.While many critics dismissed him as a ""part-time"" bowler, Moeen had a record to compare with the best in county cricket over recent seasons. And while he suffered more than his share of ups and downs, for the next five years he manfully carried the load in one of the most under-resourced areas of the English game. When he was dropped during the 2019 Ashes, subsequently losing his central contract, it turned out to be the beginning of the end for Moeen as a Test allrounder; nevertheless, on calling time in 2021, he finished just shy of 3000 Test runs and 200 wickets, making him England's third most-prolific spinner of all time.He was also a 50-over World Cup winner, as well as a regular at the IPL - his flair for fast scoring and utility as an allrounder encouraging the decision to focus solely on white-ball cricket ahead of the T20 World Cup in the UAE. Moeen admitted that he felt his batting had been ""wasted"" in Test cricket, where he featured everywhere from No. 1 to No. 9, but there will still moments to treasure, from an unbeaten hundred in his second Test to four centuries in the calendar year in 2016.He also managed a Test hat-trick, against South Africa at The Oval in 2017, during a series in which he took 25 wickets and scored 252 runs, and played a significant part in England winning the 2015 Ashes, as well as the 3-0 whitewash of Sri Lanka in 2018-19. A measure of his abilities as a Test bowler were his six dismissals of Virat Kohli - the last of which, in what turned out to be Moeen's final match, took him past Jim Laker's 193 Test dismissals.It was his batting that stood out during his early Test appearances. His outstanding 108 not out, spread over 6-and-a-half hours and 281 balls, against Sri Lanka at Headingley took England to within two balls of saving the series but, while he did unveil the first doosra bowled by an Englishman in a Test - developed after consulting Saeed Ajmal at Worcestershire - he initially struggled to offer his captain the requisite control in the field with his bowling.That changed in training for the Lord's Test against India. Encouraged by team-mate Ian Bell over the need to bowl quicker to survive in international cricket, Moeen benefited from a chance conversation from former Test offspinner Kumar Dharmasena, an umpire in the series and an onlooker at an England training session, who provided technical advice as to how to achieve the extra pace without losing any flight. It was to prove a pivotal meeting. Moeen was tighter at Lord's, devastating in Southampton and excellent at Old Trafford as he finished the series with 19 wickets; the fourth-highest haul any spinner had claimed against India in a Test series outside the subcontinent.Moeen had already made ODI and T20I debuts in the West Indies, before playing all four of England's games at the 2014 World T20. And while he struggled to recapture his batting form after that maiden century in Tests, he took his chance when promoted to the top of the order in the ODI side by hitting a 72-ball century in Colombo and ended the year a regular in all formats.Part of the team that failed abysmally at the 2015 World Cup, Moeen was also a key member of the revolution under Eoin Morgan, usually batting at No. 7 - from where he thrashed a 53-ball hundred against West Indies in 2017 - and providing spin back-up to his friend Adil Rashid. His captaincy skills also came to the fore, helping Worcestershire to secure a maiden T20 title and guiding Birmingham Phoenix into the final of the inaugural Hundred. In 2020, he became the first British Asian to captain England in a T20I.He had looked destined for such success for some time. Signed by Warwickshire as a 15-year-old, he made a century on first-class debut against Cambridge MCCU (he remains the second-youngest man to score a first-class half-century for the club) and Championship debut against Nottinghamshire but was dropped for the next game on both occasions. He also captained England Under-19s to the semi-final of the 2006 World Cup, blasted a 56-ball century in an U19 Test against Sri Lanka and, as a 14-year-old, smashed 195 not out in a Twenty20 match for his under-15 club side Moseley Ashfield. The next highest score was 11.But, frustrated by a lack of opportunity at Warwickshire during Mark Greatbatch's ill-fated reign as coach of the club, he left for local rivals Worcestershire at the end of 2006 and was a key part of the team that won the Pro-40 title in 2007. It included a 46-ball century against Northants in 2007; there had, at the time, been only one faster List A century made in England in matches involving two first-class counties.There were setbacks. Trying to combat a tendency to nick off, he went through a period of batting like Shivnarine Chanderpaul and then a spell of leaving balls that hit his off stump instead. But he made 1270 runs in 2010 and 1375 runs in 2013 - the year he won the PCA's Most Valuable Player award - as he augmented his flair with increased discipline. All the while, his offspin continued to improve.Moeen's development had a significance beyond the playing field. Taking on the mantle of role model for fellow British Asians - a sector of society that county cricket has not always encouraged as it might have done - he also talked eloquently of his Muslim faith and grew perhaps the most noticeable beard in English cricket since the days of WG Grace. He became known fondly as ""the beard that's feared"" at New Road.George Dobell","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316557.png"
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors' eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lanka's mid-year T20s against Pakistan, in 2015, but didn't quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming.De Silva first topped the batting charts in the Super T20 Provincial Tournament in early 2016, hitting 234 runs at a strike rate of 133, in six innings. Months later, he was the star of Tamil Union's first victorious first-class campaign in 55 years, hitting 868 runs at 54.20, which featured a crucial fourth-innings 121 in the match that clinched his team the title. Incredibly, though usually employed as a part-time offspinner, de Silva was also his club's most successful bowler that season, claiming 32 wickets at 14.23. Those numbers helped earn him his first call-up to Sri Lanka's Test squad - for the England tour in May and June 2016.  Andrew Fernando, May 2016 ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319859.png"
Shubman Gill,India,Right hand Bat,Right arm Offbreak,Opening Batter,"A right-hand top-order batsman from Punjab, Shubman Gill is known for his penchant for big runs and was hence drafted into India Under-19 side as the vice-captain for the 2018 World Cup. He made his first-class debut before that, for Punjab in the Ranji Trophy in late 2017 with a half-century in the game and an attacking 129 in the next match.A constant feature in Rahul Dravid's plans for the Under-19 World Cup, Gill constantly played at an age-group level above his. In 2014, he smacked 351 in Punjab's Inter-District Under-16 tournament, and shared a record opening stand of 587 with Nirmal Singh. On his Under-16 state debut for Punjab, he made an unbeaten double-century in the Vijay Merchant Trophy. Later that year, he went on to share the stage with his idol Virat Kohli while receiving a BCCI award for the best junior cricketer, which he won for two successive years: 2013-14 and 2014-15.When picked for the national Under-19 side, he amassed 351 runs in four innings to be named the Man of the Series during the Youth ODI series at home against England. In the reciprocal tour, his first in English conditions, he top-scored once more, with 278 runs in four innings. India swept both series.
While he was still in New Zealand for the World Cup on the day of the 2018 IPL auction, Gill was picked by Kolkata Knight Riders for INR 1.8 crore (USD 281,000 approx).","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322697.png"
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,"Jasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him. Besides, like his Mumbai Indians team-mate, Lasith Malinga, Bumrah carved himself a reputation for possessing an uncanny ability to hit the blockhole. And, it was during his time in the IPL that he learned from the Sri Lankan to judiciously use the yorker.  A regular member of the India A team, Bumrah was on the fringes of national selection before a debilitating left knee injury at the end of 2014 kept him out for four-and-a-half months. He had to wait more than a year before earning another call-up, one which came on the back of a fruitful 2015-16 domestic season, where he was Gujarat's second-highest wicket-taker in the Ranji Trophy and topped the bowling charts in the Vijay Hazare Trophy - that included a five-for in the List-A final that gave Gujarat their maiden one-day title. Those performances, and an untimely injury to Mohammed Shami, meant Bumrah took the flight to Australia, where he played a central role for India, finishing as the highest wicket-taker from either side as the visitors swept the T20Is 3-0. It was a showing that earned him the praise of MS Dhoni - who called him the find of the tour - as well as a place in India's squad for the 2016 World T20.ESPNcricinfo staff ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319940.png"
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321311.png"
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who bowls tidy offspin and bats in the middle order, Mahmudullah has spent the last three years figuring out how fickle form can be. In late 2012, he was the star who derailed West Indies to their first ODI series defeat in Bangladesh, and was a step away from captaincy. A poor season later, his place was continually questioned and he was even dropped for the 2014 Asia Cup. After another five months, Mahmudullah finally found form and became an automatic choice.Born in Mymensingh, a district located 115km to the north of Dhaka, Mahmudullah learned his game in his hometown before coming to the capital to take part in the ACC U15 tournament in 2000. He played in the 2004 U19 World Cup at home, and the following year made his first-class debut for Bangladesh A. He also spent part of that year in the MCC Young Cricketers and became a regular club and first-class cricketer back home in the 2005-06 season.He made his ODI debut against Sri Lanka in 2007 and was labeled a limited-overs specialist for some time and he delivered in short bursts, hardly setting the world on fire. But his eight-wicket haul on Test debut (including a five-for in the second innings) against West Indies in 2009 spurred him on as he suddenly averaged 193 with the bat in the ODI tri-series against India and Sri Lanka later that year.It got better as he slammed his one and only international hundred, in a one-off Test against New Zealand in Hamilton. The crowd held their breath as he drove the fast bowlers imperiously through the covers, fleetingly drawing comparisons with India's VVS Laxman. 
His most telling contribution so far has been the 159 runs he made against West Indies in the home ODI series in 2012. He was holding the innings together as well as playing the match-winning role. The next two years were a struggle, but after a reasonable performance against Zimbabwe in the 2014 winter, he confirmed his place in the 2015 World Cup squad.Mohammad Isam","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316571.png"
Angelo Mathews,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"A robust batting technique, nagging consistency with the ball, athleticism in the field, and an imperturbable temperament made Angelo Mathews one of Sri Lanka's most prized assets, although persistent injuries and several standoffs with the Sri Lankan board prevented him from achieving his full potential.In limited-overs cricket, Mathews' all-round skills have been indispensable. When he pulled a quad in the World Cup semi-final in 2011, it forced three changes to the XI that played in the final, as the team strove for the balance he could single-handedly deliver. He began his international career with ambitions of becoming a genuine allrounder, but over time came to give primacy to his batting, effectively playing as a specialist batter in the Test side, providing solidity to the lower-middle order. Against Pakistan in December 2013, he batted for seven and a half hours to make an unbeaten 157 (having already scored 91 in the first innings) and save a Test in Abu Dhabi. Mathews had an outstanding 2014, in which he scored 1160 Test runs at an average of 77.33, his finest moment being a rousing 160 at Headingley, which transformed that match and saw Sri Lanka win their first Test series in England (not including the one-off Test in 1998). He had also starred in Sri Lanka's victorious T20 World Cup campaign earlier that year, scoring 40 off 23 balls in the semi-final against West Indies and conceding only 25 runs for a wicket in the final against India.He took over the captaincy in 2013, leading Sri Lanka to the series win in England, but after an embarrassing ODI series loss at home to Zimbabwe in 2017 and an early Asia Cup exit in 2018, Mathews found himself dropped from the one-day team altogether, specifically for his running between the wickets.He batted for over seven hours to save the Wellington Test in December 2018, dropping on to the pitch after getting to his hundred to do ten push-ups and then flexing his biceps to let his coach know what he thought of being called cricket-unfit. He tore a hamstring in the next Test and was ruled out for four months. As if that wasn't enough drama, Mathews took a wicket off his first ball in the 2019 World Cup, not having bowled for eight months before that.Despite the many injuries in the second half of his career, Mathews reached the 100-Tests milestone in 2022, becoming the 12th man to be dismissed for 199 in a Test in the process.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/355600/355644.png"
